2206688	100456789	777777	Tahjaye	Edwards	1007	Manager	60.0	10	5	2002	1	11	2023
4444444	444444444	555555	Jude	Bellingham	1004	Midfielder	80.0	31	1	2023	28	2	2025
6666666	666666666	666666	Rodrygo	Goes	1011	Winger	32.0	29	2	2024	28	2	2025
8888888	888888888	888888	Luka	Modric	1017	Center	50.0	25	2	1988	30	6	2009
9999999	999999999	999999	Kylian	Mbappe	1009	Striker	50.0	25	4	1998	30	6	2017
3333333	346444	343443	Lionel	Messi	1006	Center-Forward	60.0	29	7	1987	30	7	2023
1111111	111111111	1111111	Tahjaye	Edwards	1008	Analyst	45.0	29	2	2000	23	2	2023
234567	123456789	345467	Shenelle	Smith	1009	Manager	12.0	28	9	2004	12	9	2006
78787878	878787878	8888888	Cristiano	Ronaldo	1007	Striker	80.0	5	2	1985	1	1	2022
1919191	199199199	199199	Toni	Kroos	1006	Center-Mid	47.0	4	2	1990	30	7	2014
